"nom";"UFL";"UFV";"PDIN";"PDIE";"PDIinf";"stock_correspondant";"source"
"Concentré céréales";1.02;1.02;70;89;70;"RC";"Tables INRA 2007, Blé tendre dans CONCENTRE, COPRODUIT, Céréales CC0050"
"Tourteau de colza";0.85;0.80;219;138;138;"";""
"Tourteau de colza AB";0.96;0.90;180;110;110;"";"Partners and co"
"Tourteau de soja";1.05;1.05;330;230;230;"";""
"Tourteau de soja 42 AB";1.17;1.16;310;220;220;"";"Partners and co"
"Luzerne déshydratée";0.63;0.55;109;94;94;"";"Tables INRA 2007, CONCENTRE, COPRODUIT, Déshydratés et agglomérés (a), Luzerne MAT 18-19% sur sec (code CD0040)"
"Féverole Hiver AB";1;1;153;92;92;"RP";"Valeur nutritive des matières premières cultivées en AB et utilisées par les  ruminants."
"Lupin Blanc AB";1.13;1.12;205;101;101;"";"Valeur nutritive des matières premières cultivées en AB et utilisées par les  ruminants."
"Pois protéagineux AB";1.05;106;143;85;85;"RP";"Valeur nutritive des matières premières cultivées en AB et utilisées par les  ruminants."
"Céréales AB (azote défavorable)";0.97;0.97;55;81;55;"";""
"Blé_pois (90% - 10 %) AB";0.99;0.99;67;84;67;"RC-RP";""
"Blé_pois (70% - 30 %) AB";1.01;1.01;87;85;85;"RC-RP";""
"Blé_pois (50% - 50 %) AB";1.02;1.02;104;86;86;"RC-RP";""
"Triticale_pois (90% - 10 %) AB";0.97;0.96;67;81;67;"RC-RP";""
"Triticale_pois (70% - 30 %) AB";0.98;0.97;87;82;82;"RC-RP";""
"Triticale_pois (50% - 50 %) AB";0.98;0.98;103;83;83;"RC-RP";""
