"site";"annee";"type";"Abrev_baguette";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"Rdt_paille";"Designation_baguettes";"RU";"IN";"ITK";"Détail_ITK";"Type_pature"
"Albi BV";2009;"PP";"PP1 : productive et très précoce PFP sol sup";0,5;13,7;30;;;3,3796;0;0;0;1,8;28,3;2,8;0;"P";"P";"P";;;"FH";"P";"P";"P";"P";"P";"P";"P";;"PP : Productive et très précoce";"SuperficiFL";"N élevé";"P + F + P";;"Pâture PP"
"Albi BV";2009;"PP";"PP2 :  peu productive assez tardive P sol sup";1;12,4;27,6;33,3;68,8;8;0;0;0;6,1;28,5;5,4;0,2;"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";;"PP : Peu productive et tardive";"SuperficiFL";"N élevé";"P";;"Pâture PP"
"Albi BV";2009;"PP";"PP3 : productive et précoce P sol sup";0,6;13,6;29,9;33,7;46,3;0;0;0;0;3,1;25,8;3,4;0;"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";;"PP : Productive et précoce";"SuperficiFL";"N élevé";"P";;"Pâture PP"
"Albi BV";2009;"PP";"PP4 : productive et très précoce PFP sol sup lim P";0;10,8;25,1;;;2,6628;0;0;0;0;23,8;3;0;"P";"P";"P";;;"FH";"P";"P";"P";"P";"P";"P";"P";;"PP : Productive et très précoce";"SuperficiFL";;"P + F + P";;"Pâture PP"
"Albi BV";2009;"PP";"PP5 : productive et précoce FP sol sup lim P";;;;;3,8024;0;0;0;0;4,7;23,6;0,5;0;;;;;"FH";"P";"P";"P";"P";"P";"P";"P";"P";;"PP : Productive et précoce";"SuperficiFL";;"F + P";;"Pâture PP"
"Albi BV";2009;"PP";"PP6 : productive et précoce P sol sup lim P";0;10,7;25;28;34,4;0;0;0;0;1,8;22,1;7,8;0;"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";;"PP : Productive et précoce";"SuperficiFL";;"P";;"Pâture PP"
"Albi BV";2009;"PP";"PP7 : assez productive et assez précoce P sol sup lim P";0;9,8;23,2;25;48,7;8;0;0;0;0;22,6;5,5;0;"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";;"PP : Assez productive et assez tardive";"SuperficiFL";;"P";;"Pâture PP"
"Albi BV";2009;"PP";"PP8 : assez productive et assez précoce FP sol sup lim P";;;;;;3,2732;0;0;2,5;25,3;5,1;0;0;;;;;;"FH";"P";"P";"P";"P";"P";"P";"P";;"PP : Assez productive et assez tardive";"SuperficiFL";;"F + P";;"Pâture PP"
"Albi BV";2009;"PP";"PP9 :  peu productive assez tardive  P sol sup lim P";0;7,8;20;24,9;57,6;5,3;0;0;0;2,9;25,6;5,5;0;"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";;"PP : Peu productive et tardive";"SuperficiFL";;"P";;"Pâture PP"
"Albi BV";2009;"PT";"PT1 : Dact/TB FP sol prof";;;;5;66,2;17,2;0;0;0;0;24,6;4,5;1,5;;;;;"EH";"P";"P";"P";"P";"P";"P";"P";"P";;"PT : Dactyle, Trèfle blanc";"Profond";"N élevé";"E + P";;"Pâture gram/leg"
"Albi BV";2009;"PT";"PT2 : Dact/TB P sol sup lim P";0;7,9;22,4;25;40,8;0;0;0;0;2,1;22,4;7,5;0,1;"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";;"PT : Dactyle, Trèfle Blanc";"SuperficiFL";;"P";;"Pâture gram/leg"
"Albi BV";2009;"PT";"PT3 : Dact/TB FFP sol prof";;;;;3,8416;;1,0612;0;0;0;22,5;5,3;1,2;;;;;"EH";;"FH";"P";"P";"P";"P";"P";"P";;"PT : Dactyle, Trèfle Blanc";"Profond";"N élevé";"E + F + P";;"Pâture gram/leg"
"Albi BV";2009;"PT";"PT4 : RGI FFP sol sup";;;;;5;;2,5;0;0;9,6;20;4,8;0;;;;;"EH";;"FH";"P";"P";"P";"P";"P";"P";;"PT : Ray-Grass Italien";"SuperficiFL";"N élevé";"E + F + P";;"Pâture monospécifique"
"Albi BV";2009;"PT";"PT5 : Dact/Ftq/TB FFP sol prof lim P";;;;;3,8472;;1,0752;0;0;0,8;27,8;5,1;1,3;;;;;"EH";;"FH";"P";"P";"P";"P";"P";"P";;"PT : Dactyle, Fétuque, Trèfle blanc";"Profond";;"E + F + P";;"Pâture gram/leg"
"Albi BV";2009;"PT";"PT6 : Dact/Ftq/TB P sol sup lim P";0;10,1;25,8;28,6;50,6;16,8;0;0;0;2,1;25,7;7,5;0;"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";"P";;"PT : Dactyle, Fétuque, Trèfle blanc";"SuperficiFL";;"P";;"Pâture gram/leg"
"Albi BV";2009;"PT";"PT7 : Dact/Ftq/TB PFP sol prof lim P";0;10,2;39;;;2,67;0;0;0;0;25,1;6;0;"P";"P";"P";;;"FH";"P";"P";"P";"P";"P";"P";"P";;"PT : Dactyle, Fétuque, Trèfle blanc";"Profond";;"P + F + P";;"Pâture gram/leg"
