"Type";"Description";"Periode_MB";"Age_mois";"Sem_MB";"Poids_MB_kg";"NEC_MB";"Duree_lact_j";"Poids_anx_naiss_kg";"Product_lait_kg";"TR";"CI1";"CI2";"CI3";"CI4";"CI5";"CI6";"CI7";"CI8";"CI9";"CI10";"CI11";"CI12";"CI13";"UFL1";"UFL2";"UFL3";"UFL4";"UFL5";"UFL6";"UFL7";"UFL8";"UFL9";"UFL10";"UFL11";"UFL12";"UFL13";"PDI1";"PDI2";"PDI3";"PDI4";"PDI5";"PDI6";"PDI7";"PDI8";"PDI9";"PDI10";"PDI11";"PDI12";"PDI13";"PL1";"PL2";"PL3";"PL4";"PL5";"PL6";"PL7";"PL8";"PL9";"PL10";"PL11";"PL12";"PL13"
"VL";"VL vel 24 mois printemps 700 kg 4000 kg lait TR=20%";"printemps";24;12;700;2,5;320;40;4000;0,2;16,8222819266143;16,4082998770818;15,3547026707177;13,4603114383166;12,1683372347754;12,6055856891228;14,5762804381296;16,3363024210466;17,2056750951735;17,4616884278464;17,4405620375225;17,2784908531842;17,057976916612;11,3666348463038;10,9648476278409;10,3218127703447;9,77098916395001;9,99774657949183;11,3579803473653;12,8966154212471;13,6979976317624;13,6036184411688;13,2396063236502;12,8690086557287;12,3657010309864;11,8381775763478;1031,57340605147;980,564200837782;896,246306930768;806,155885693768;808,285419280362;955,390071897273;1145,06694093081;1246,36348938404;1237,93513870439;1195,73626080391;1153,63815551077;1112,40491124677;1071,61413034386;9,83234891769996;7,29763295169479;3,78074376618467;3,83054468781214;9,48391056499808;15,6745547754051;16,3644046256429;15,5489391530287;14,6883883448135;13,8079126016507;12,9034733482143;11,960161377429;10,9514886874672
"VL";"VL vel 24 mois étalés 700 kg 4000 kg lait TR=20%";"étalés";24;;700;2,5;320;40;4000;0,2;15,7058842327803;15,7058842327803;15,7058842327803;15,7058842327803;15,7058842327803;15,7058842327803;15,7058842327803;15,7058842327803;15,7058842327803;15,7058842327803;15,7058842327803;15,7058842327803;15,7058842327803;11,8685181858606;11,8685181858606;11,8685181858606;11,8685181858606;11,8685181858606;11,8685181858606;11,8685181858606;11,8685181858606;11,8685181858606;11,8685181858606;11,8685181858606;11,8685181858606;11,8685181858606;1049,30571673969;1049,30571673969;1049,30571673969;1049,30571673969;1049,30571673969;1049,30571673969;1049,30571673969;1049,30571673969;1049,30571673969;1049,30571673969;1049,30571673969;1049,30571673969;1049,30571673969;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109
"VL";"VL vel 29 mois printemps 700 kg 4000 kg lait TR=20%";"printemps";29;12;700;2,5;320;40;4000;0,2;16,9756082848017;16,5437503645075;15,464504072908;13,5684451789951;12,3155129627216;12,809644724016;14,8131088391987;16,575702858737;17,4348671449439;17,676259671075;17,6394719215403;17,4617130590002;17,2254453130504;11,2866348463038;10,8846203551136;10,2374567097386;9,67076189122274;9,87842839767364;11,2278364079714;12,7709108757926;13,5864521772169;13,508436622987;13,1560608691047;12,7890086557287;12,2857010309864;11,7581775763478;1021,17340605147;970,136928110509;885,311458445919;793,189219027101;792,86420715915;938,564920382122;1128,82421365808;1231,94894392949;1225,61150234075;1184,88898807664;1143,23815551077;1102,00491124677;1061,21413034386;9,83234891769996;7,29763295169479;3,78074376618467;3,83054468781214;9,48391056499808;15,6745547754051;16,3644046256429;15,5489391530287;14,6883883448135;13,8079126016507;12,9034733482143;11,960161377429;10,9514886874672
"VL";"VL vel 29 mois étalés 700 kg 4000 kg lait TR=20%";"étalés";29;;700;2,5;320;40;4000;0,2;15,8849257227304;15,8849257227304;15,8849257227304;15,8849257227304;15,8849257227304;15,8849257227304;15,8849257227304;15,8849257227304;15,8849257227304;15,8849257227304;15,8849257227304;15,8849257227304;15,8849257227304;11,7723451089375;11,7723451089375;11,7723451089375;11,7723451089375;11,7723451089375;11,7723451089375;11,7723451089375;11,7723451089375;11,7723451089375;11,7723451089375;11,7723451089375;11,7723451089375;11,7723451089375;1036,84392186789;1036,84392186789;1036,84392186789;1036,84392186789;1036,84392186789;1036,84392186789;1036,84392186789;1036,84392186789;1036,84392186789;1036,84392186789;1036,84392186789;1036,84392186789;1036,84392186789;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109
"VL";"VL vel 36 mois printemps 700 kg 4000 kg lait TR=20%";"printemps";36;12;700;2,5;320;40;4000;0,2;17,1092838667298;16,6618411020894;15,5602329906742;13,6627201678629;12,443826198042;12,9875509272253;15,0195845861236;16,7844210021823;17,6346852387704;17,8633308057626;17,8128889048409;17,6214529450455;17,3714504462389;11,230453028122;10,8432112642045;10,2121536794356;9,63242855788941;9,80995870070395;11,125593983729;12,6601836030653;13,4730885408533;13,3936184411688;13,0445154145593;12,6884632011832;12,1997010309864;11,6874503036205;1013,96976968783;964,851473565055;882,090246324707;788,237703875586;783,965419280362;925,273405230606;1114,42966820354;1217,22530756586;1210,73513870439;1170,47444262209;1130,26724641986;1090,92491124677;1052,11958488931;9,83234891769996;7,29763295169479;3,78074376618467;3,83054468781214;9,48391056499808;15,6745547754051;16,3644046256429;15,5489391530287;14,6883883448135;13,8079126016507;12,9034733482143;11,960161377429;10,9514886874672
"VL";"VL vel 36 mois étalés 700 kg 4000 kg lait TR=20%";"étalés";36;;700;2,5;320;40;4000;0,2;16,041020706276;16,041020706276;16,041020706276;16,041020706276;16,041020706276;16,041020706276;16,041020706276;16,041020706276;16,041020706276;16,041020706276;16,041020706276;16,041020706276;16,041020706276;11,6923707499632;11,6923707499632;11,6923707499632;11,6923707499632;11,6923707499632;11,6923707499632;11,6923707499632;11,6923707499632;11,6923707499632;11,6923707499632;11,6923707499632;11,6923707499632;11,6923707499632;1026,50494750892;1026,50494750892;1026,50494750892;1026,50494750892;1026,50494750892;1026,50494750892;1026,50494750892;1026,50494750892;1026,50494750892;1026,50494750892;1026,50494750892;1026,50494750892;1026,50494750892;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109;11,2403464463109
"VL";"VL vel 24 mois printemps 700 kg 4000 kg lait TR=25%";"printemps";24;12;700;2,5;320;40;4000;0,25;16,6762307195094;16,203556850462;14,9201876096437;12,733148477301;11,6607004312102;12,6636130152922;14,9395946896922;16,5095917743787;17,1485996319021;17,3427015590604;17,3004189486918;17,133921786297;16,9143634090039;11,3076200244156;10,8949928767225;10,1713622316392;9,57319192066409;10,0377739750618;11,7114849380992;13,2414772944946;13,7763105257641;13,5069140638584;13,1394657934019;12,7767877772221;12,2827120255599;11,7663996559274;1024,96306223798;971,979646825542;877,526513097431;782,134477622265;815,48123686994;1004,32495264898;1193,55624895576;1260,30875121535;1228,97535630429;1186,06946244595;1144,57854480045;1104,06045713947;1064,11140893346;9,56669722825595;6,69611434968272;2,70536654994572;3,87882325005298;11,8548882062476;16,6126519625461;16,0495318328215;15,2273895844321;14,3825155730961;13,5185004404846;12,6291058719507;11,6971174962044;10,6931188851275
"VL";"VL vel 24 mois étalés 700 kg 4000 kg lait TR=25%";"étalés";24;;700;2,5;320;40;4000;0,25;15,5497406848034;15,5497406848034;15,5497406848034;15,5497406848034;15,5497406848034;15,5497406848034;15,5497406848034;15,5497406848034;15,5497406848034;15,5497406848034;15,5497406848034;15,5497406848034;15,5497406848034;11,8604994694485;11,8604994694485;11,8604994694485;11,8604994694485;11,8604994694485;11,8604994694485;11,8604994694485;11,8604994694485;11,8604994694485;11,8604994694485;11,8604994694485;11,8604994694485;11,8604994694485;1050,62077839207;1050,62077839207;1050,62077839207;1050,62077839207;1050,62077839207;1050,62077839207;1050,62077839207;1050,62077839207;1050,62077839207;1050,62077839207;1050,62077839207;1050,62077839207;1050,62077839207;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575
"VL";"VL vel 29 mois printemps 700 kg 4000 kg lait TR=25%";"printemps";29;12;700;2,5;320;40;4000;0,25;16,8652589257681;16,3704593485087;15,0550756316525;12,8640641176862;11,8392238038516;12,9133142563166;15,2318707379219;16,8052010811662;17,4312959524741;17,6072802966515;17,5456602318489;17,3598289877118;17,1208345487671;11,2076200244156;10,7947087858134;10,0660781407301;9,45001010248227;9,89160352051632;11,5513144835538;13,0847841126764;13,6368787075823;13,3879367911311;13,0350339752201;12,6767877772221;12,1827120255599;11,6663996559274;1011,96306223798;958,945555916451;863,878785824704;766,198113985901;796,589873233577;983,618134467158;1173,30943077394;1242,29056939717;1213,57081084974;1172,51037153686;1131,57854480045;1091,06045713947;1051,11140893346;9,56669722825595;6,69611434968272;2,70536654994572;3,87882325005298;11,8548882062476;16,6126519625461;16,0495318328215;15,2273895844321;14,3825155730961;13,5185004404846;12,6291058719507;11,6971174962044;10,6931188851275
"VL";"VL vel 29 mois étalés 700 kg 4000 kg lait TR=25%";"étalés";29;;700;2,5;320;40;4000;0,25;15,7699513784865;15,7699513784865;15,7699513784865;15,7699513784865;15,7699513784865;15,7699513784865;15,7699513784865;15,7699513784865;15,7699513784865;15,7699513784865;15,7699513784865;15,7699513784865;15,7699513784865;11,740912930987;11,740912930987;11,740912930987;11,740912930987;11,740912930987;11,740912930987;11,740912930987;11,740912930987;11,740912930987;11,740912930987;11,740912930987;11,740912930987;11,740912930987;1035,1250091613;1035,1250091613;1035,1250091613;1035,1250091613;1035,1250091613;1035,1250091613;1035,1250091613;1035,1250091613;1035,1250091613;1035,1250091613;1035,1250091613;1035,1250091613;1035,1250091613;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575;11,1932170177575
