"type";"description";"correspondance UE";"correspondance UF"; "Colonne UF_concentrés"
"GEN";"Génisses de renouvellement";"UEB";"UFL";"UFL"
"OA";"Ovin allaitant";"UEM";"UFL";"UFL"
"BOL";"Brebis laitières adultes";"UEM";"UFL";"UFL"
"JOL";"Jeunes brebis laitières";"UEM";"UFL";"UFL"
"AOL";"Agnelles de renouvellement";"UEM";"UFL";"UFL"
"VL";"Vaches laitières";"UEL";"UFL";"UFL"
"VA broutard";"Vaches allaitantes avec broutard";"UEB";"UFL";"UFL"
"VA veau";"Vaches allaitantes avec veau sous la mère";"UEB";"UFL";"UFL"
"TV";"Taurillons viande";"UEB";"UFV";"UFV"
"TL";"Taurillons laitiers";"UEB";"UFV";"UFV"
"CH";"Chèvres";"";"";""
