"ration";"Raccourci";"UEL";"UEB";"UEM";"UFL";"UFV";"PDI_inf";"refus";"stock_correspondant";"source"
"Pâture";"Pâture";0.98;1.10;0.95;0;0;0;0;"P";
"Foin bonne qualité";"FoinBQ";1.05;1.20;1.40;0.6;0.6;60;0;"FH";"valeurs foin séché en grange"
"Foin moyenne qualité";"FoinMQ";1.10;1.30;1.55;0.5;0.5;50;0;"FH";
"Foin faible qualité";"FoinFQ";1.15;1.40;1.70;0.45;0.45;45;0;"FH";
"Enrubannage herbe";"EnrubHerbe";1.06;1.20;1.40;0.7;0.7;70;0;"EH";
"Ensilage herbe";"EnsilHerbe";1.06;1.20;1.50;0.7;0.7;70;0;"EH";
"Ensilage de maïs/sorgho";"EnsilMaïSor";0.95;1.00;1.28;0.8;0.8;50;0;"EM";
"Ensilage de légumineuses";"EnsilLeg";1.12;1.18;1.17;0.5;0.7;45;0;"EL";"valeurs Luzerne ensilage brins court sans conservateurs 1er cycle bourgeonnement (code FE4820)"
"Foin de légumineuses";"FoinLeg";1.04;1.05;1.23;0.5;0.5;80;0;"FL";"valeurs Luzerne foin fané au sol par beau temps 1er cycle floraison (code FF3350)"
"Paille";"Paille";1.6;1.8;2.4;0.4;0.3;20;0;"STRAW";
